,(1),(2),(3),(4)
FARMHHI,0.000000112***,0.000000104***,0.000000111***,0.000000103***
,(0.000000013),(0.000000013),(0.000000013),(0.000000013)
,,(0.000001854),,(0.000001707)
,(0.002596229),(0.003179380),(0.005810866),(0.005849524)
TotAcresOper,,0.000016290***,,0.000014824***
,(0.000000013),(0.000000013),(0.000000013),(0.000000013)
,,(0.000001854),,(0.000001707)
,(0.002596229),(0.003179380),(0.005810866),(0.005849524)
const,-0.038285348***,-0.056437092***,-0.147764320***,-0.155444689***
,(0.000000013),(0.000000013),(0.000000013),(0.000000013)
,,(0.000001854),,(0.000001707)
,(0.002596229),(0.003179380),(0.005810866),(0.005849524)
FE,,,X,X
N,90368,90368,90368,90368
Adjusted R2,0.01,0.01,0.01,0.02
