,(1),(2),(3),(4)
TOTHHI,0.000000141***,0.000000134***,0.000000139***,0.000000133***
,(0.000000013),(0.000000012),(0.000000013),(0.000000012)
,,(0.000001778),,(0.000001639)
,(0.003127796),(0.003524770),(0.005996813),(0.006013181)
TotAcresOper,,0.000015864***,,0.000014461***
,(0.000000013),(0.000000012),(0.000000013),(0.000000012)
,,(0.000001778),,(0.000001639)
,(0.003127796),(0.003524770),(0.005996813),(0.006013181)
const,-0.052436709***,-0.069765294***,-0.160163913***,-0.167374399***
,(0.000000013),(0.000000012),(0.000000013),(0.000000012)
,,(0.000001778),,(0.000001639)
,(0.003127796),(0.003524770),(0.005996813),(0.006013181)
FE,,,X,X
N,90368,90368,90368,90368
Adjusted R2,0.01,0.02,0.02,0.03
