,(1),(2),(3),(4)
TOTOFI,0.000000212***,0.000000210***,0.000000209***,0.000000207***
,(0.000000033),(0.000000033),(0.000000032),(0.000000032)
,,(0.000001997),,(0.000001860)
,(0.003432393),(0.003999484),(0.006204995),(0.006253935)
TotAcresOper,,0.000016915***,,0.000015509***
,(0.000000033),(0.000000033),(0.000000032),(0.000000032)
,,(0.000001997),,(0.000001860)
,(0.003432393),(0.003999484),(0.006204995),(0.006253935)
const,-0.044761603***,-0.064207734***,-0.155707847***,-0.164141154***
,(0.000000033),(0.000000033),(0.000000032),(0.000000032)
,,(0.000001997),,(0.000001860)
,(0.003432393),(0.003999484),(0.006204995),(0.006253935)
FE,,,X,X
N,90368,90368,90368,90368
Adjusted R2,0.01,0.02,0.02,0.02
