,(1),(2),(3)
FARMBUSI,,,-0.000000032**
,,,(0.000000013)
R-squared,0.031243511,0.037374497,0.037943416
R-squared Adj.,0.031222070,0.037342538,0.037900829
TOTHHI,0.000000165***,0.000000161***,0.000000186***
,(0.000000013),(0.000000012),(0.000000022)
TotAcresOper,,0.000012851***,0.000013066***
,,(0.000001449),(0.000001481)
const,-0.100162535***,-0.111040559***,-0.112365952***
,(0.003066208),(0.003212682),(0.003600080)
prog_indicator,0.135934628***,0.125520551***,0.126928344***
,(0.003861518),(0.004021357),(0.004029130)
N,90368,90368,90368
Adjusted R2,0.03,0.04,0.04
