,(1),(2),(3)
FARMBUSI,,,-0.000000043***
,,,(0.000000012)
PROG_Arc,0.000003381***,0.000003096***,0.000003160***
,(0.000000295),(0.000000296),(0.000000292)
PROG_COVID,0.000000000***,0.000000000***,0.000000000***
,(0.000000000),(0.000000000),(0.000000000)
PROG_DCP/ACRE,0.000003693***,0.000003360***,0.000003468***
,(0.000000207),(0.000000205),(0.000000198)
PROG_Insurance,0.000000234***,0.000000196**,0.000000211***
,(0.000000087),(0.000000081),(0.000000080)
PROG_MFP,0.000001880***,0.000001803***,0.000001836***
,(0.000000124),(0.000000123),(0.000000122)
PROG_PLC,0.000003147***,0.000002856***,0.000002889***
,(0.000000192),(0.000000193),(0.000000193)
R-squared,0.040907720,0.044894659,0.045910403
R-squared Adj.,0.040844036,0.044820669,0.045825932
TOTHHI,0.000000150***,0.000000148***,0.000000180***
,(0.000000011),(0.000000011),(0.000000021)
TotAcresOper,,0.000010501***,0.000010715***
,,(0.000001141),(0.000001167)
const,-0.083059489***,-0.092476453***,-0.094129190***
,(0.002740119),(0.002866013),(0.003287925)
N,90368,90368,90368
Adjusted R2,0.04,0.04,0.05
