,TotHHIncome,TotHHIncome,TotHHIncome,TotHHIncome,TotHHIncome,TotHHIncome,FarmHHIncome,FarmHHIncome,FarmHHIncome,FarmHHIncome,FarmHHIncome,FarmHHIncome,OffFarmHHIncome,OffFarmHHIncome,OffFarmHHIncome,OffFarmHHIncome,OffFarmHHIncome,OffFarmHHIncome
,-1,-2,-3,-4,-5,-6,-1,-2,-3,-4,-5,-6,-1,-2,-3,-4,-5,-6
TotAcresOper,,0.0000***,0.0000***,0.0000***,0.0000***,0.0000***,,0.0000***,0.0000***,0.0000***,0.0000***,0.0000***,,0.0000***,0.0000***,0.0000***,0.0000***,0.0000***
,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
const,-1.8496***,-1.8103***,-1.8841***,-1.7809***,-1.8519***,-1.8140***,-0.9089***,-0.8716***,-0.9708***,-0.8680***,-0.9600***,-0.9246***,-0.8795***,-0.9213***,-0.9954***,-0.9022***,-0.9710***,-0.9454***
,-0.0253,-0.0257,-0.0259,-0.0272,-0.0274,-0.0334,-0.0197,-0.0203,-0.0208,-0.0225,-0.023,-0.0304,-0.0209,-0.0215,-0.0216,-0.0234,-0.0235,-0.031
logposinc,0.1580***,0.1535***,0.1528***,0.1529***,0.1523***,0.1521***,0.0818***,0.0768***,0.0773***,0.0761***,0.0767***,0.0765***,0.0798***,0.0818***,0.0801***,0.0815***,0.0800***,0.0801***
,-0.0022,-0.0022,-0.0022,-0.0023,-0.0022,-0.0022,-0.0018,-0.0019,-0.0019,-0.0019,-0.0019,-0.0019,-0.0019,-0.0019,-0.0019,-0.0019,-0.002,-0.002
negincind,1.8516***,1.7892***,1.7790***,1.7814***,1.7730***,1.7685***,0.8565***,0.8061***,0.8094***,0.8013***,0.8044***,0.8015***,0.8254***,0.8380***,0.8240***,0.8347***,0.8222***,0.8228***
,-0.0262,-0.0272,-0.0269,-0.0272,-0.027,-0.027,-0.0201,-0.021,-0.0208,-0.021,-0.0207,-0.0208,-0.0227,-0.0226,-0.0226,-0.0227,-0.0227,-0.0227
N,86856,86856,86856,86856,86856,86856,86856,86856,86856,86856,86856,86856,86856,86856,86856,86856,86856,86856
Adjusted R2,0.07,0.07,0.08,0.08,0.08,0.08,0.03,0.03,0.04,0.04,0.04,0.04,0.02,0.03,0.04,0.04,0.04,0.05
fe,,,region,time,"time, region",interacted,,,region,time,"time, region",interacted,,,region,time,"time, region",interacted
